TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,Cluster,TransactionType,Channel,CustomerOccupation
14.09,70.0,81.0,5112.21,2,Debit,ATM,Doctor
376.24,68.0,141.0,13758.91,2,Debit,ATM,Doctor
126.28999999999999,19.0,56.0,1122.35,1,Debit,Online,Student
184.5,26.0,25.000000000000004,8569.06,1,Debit,Online,Student
13.45,26.0,198.0,7429.4,4,Credit,Online,Student
92.15,18.0,172.0,781.68,2,Debit,ATM,Student
7.080000000000001,37.0,139.0,13316.71,5,Credit,ATM,Doctor
171.42,67.0,291.0,2796.24,3,Credit,Branch,Retired
106.23,51.0,86.0,9095.14,3,Credit,Branch,Engineer
815.96,55.0,120.0,1021.8800000000001,2,Debit,ATM,Doctor
17.78,52.0,59.00000000000001,7599.5199999999995,4,Credit,Online,Engineer
190.02,21.0,173.0,1528.81,1,Debit,Online,Student
494.52,24.0,111.0,1620.02,3,Credit,Branch,Student
781.76,26.0,123.0,189.69,2,Debit,ATM,Student
166.99,18.0,134.0,299.93,1,Debit,Online,Student
465.44999999999993,36.0,129.0,3465.54,2,Debit,ATM,Engineer
555.8,19.0,158.0,1131.26,3,Credit,Branch,Student
492.92999999999995,39.0,234.0,5109.97,1,Debit,Online,Engineer
18.68,59.0,106.0,7948.369999999999,3,Credit,Branch,Retired
71.48,18.0,169.0,6568.59,4,Credit,Online,Student
59.32,71.0,37.99999999999999,5750.89,0,Debit,Branch,Retired
85.77,38.0,93.0,9146.19,0,Debit,Branch,Doctor
52.2,39.0,120.0,8974.93,1,Debit,Online,Engineer
345.84,22.0,142.0,1402.5,1,Debit,Online,Student
145.54,21.0,96.0,1930.96,1,Debit,Online,Student
7.49,65.0,276.0,3634.67,4,Credit,Online,Retired
246.93000000000004,23.0,158.0,673.3499999999999,2,Debit,ATM,Student
40.32,37.0,95.0,2686.52,0,Debit,Branch,Engineer
127.45000000000002,44.0,197.0,1772.06,1,Debit,Online,Doctor
56.17,27.0,283.0,1351.69,0,Debit,Branch,Student
28.310000000000002,59.0,20.0,8334.47,4,Credit,Online,Doctor
59.11999999999999,29.0,257.0,9823.64,2,Debit,ATM,Doctor
396.45,49.0,168.00000000000003,9690.15,2,Debit,ATM,Engineer
877.81,22.0,150.0,399.0,1,Debit,Online,Student
255.26,45.0,50.00000000000001,14815.87,3,Credit,Branch,Doctor
124.75999999999999,49.0,45.0,5764.72,0,Debit,Branch,Engineer
78.13,26.0,145.0,900.61,0,Debit,Branch,Student
649.28,75.0,137.0,4875.86,2,Debit,ATM,Retired
795.31,66.0,90.0,7914.879999999999,2,Debit,ATM,Doctor
335.63,55.0,215.99999999999997,1019.39,1,Debit,Online,Retired
328.47,63.0,119.0,4323.66,2,Debit,ATM,Retired
34.02,38.0,18.999999999999996,14214.48,1,Debit,Online,Doctor
241.42,57.0,116.00000000000001,13357.02,4,Credit,Online,Doctor
55.32,19.0,117.0,241.79000000000002,2,Debit,ATM,Student
